Config,Site,Ecosystem,R2,R2_ci_low,R2_ci_high,RMSE,MAE
Zero-Shot-TEMPO,UK-AMo,Wetland,0.3835750222206116,0.3801149696111679,0.38665182143449783,2.873929262161255,1.7534549236297607
Zero-Shot-TEMPO,SE-Htm,Forest,0.1563590168952942,0.15366429537534715,0.15896087139844894,8.838772773742676,7.535750389099121
Universal-TEMPO,UK-AMo,Wetland,0.5988449454307556,0.5965504720807076,0.6010155148804188,2.318419933319092,1.4517112970352173
Universal-TEMPO,SE-Htm,Forest,0.727901041507721,0.7257919274270535,0.7300756461918354,5.019686698913574,3.8418588638305664
Wetland-TEMPO,UK-AMo,Wetland,0.5988449454307556,0.5967221185564995,0.6012000031769276,2.318419933319092,1.4517112970352173
Wetland-TEMPO,SE-Htm,Forest,0.727901041507721,0.7257007643580436,0.7301098071038723,5.019686698913574,3.8418588638305664
Forest-TEMPO,UK-AMo,Wetland,0.5418329536914825,0.5391978912055493,0.5446655184030533,2.4776952266693115,1.5024925470352173
Forest-TEMPO,SE-Htm,Forest,0.7661320865154266,0.7638139680027962,0.7685140661895276,4.653700828552246,3.5556952953338623
