site,model,feature,feature_group,delta_rmse,rank
UK-AMo,LSTM,PA_F,Meteorological,0.06665,12
UK-AMo,LSTM,P_F,Meteorological,0.158341,16
UK-AMo,LSTM,WS_F,Meteorological,0.406013,17
UK-AMo,LSTM,G_F_MDS,Energy Fluxes,0.061509,10
UK-AMo,LSTM,LE_F_MDS,Energy Fluxes,-0.037652,4
UK-AMo,LSTM,H_F_MDS,Energy Fluxes,0.11137,14
UK-AMo,LSTM,MODIS_band_1,Remote Sensing,-0.026733,6
UK-AMo,LSTM,MODIS_band_2,Remote Sensing,0.100912,13
UK-AMo,LSTM,MODIS_band_3,Remote Sensing,-0.031533,5
UK-AMo,LSTM,MODIS_band_4,Remote Sensing,0.017225,9
UK-AMo,LSTM,MODIS_band_5,Remote Sensing,0.065239,11
UK-AMo,LSTM,MODIS_band_6,Remote Sensing,0.148798,15
UK-AMo,LSTM,MODIS_band_7,Remote Sensing,-0.085677,1
UK-AMo,LSTM,DOY,Temporal,0.714942,18
UK-AMo,LSTM,TOD,Temporal,1.236187,19
SE-Htm,LSTM,SW_IN_F,Meteorological,-0.120701,8
SE-Htm,LSTM,LW_IN_F,Meteorological,-0.0011,9
SE-Htm,LSTM,VPD_F,Meteorological,0.016469,11
SE-Htm,LSTM,TA_F,Meteorological,-0.168357,6
SE-Htm,LSTM,PA_F,Meteorological,-0.259331,3
SE-Htm,LSTM,P_F,Meteorological,-0.15078,7
SE-Htm,LSTM,WS_F,Meteorological,0.145976,13
SE-Htm,LSTM,G_F_MDS,Energy Fluxes,-0.171481,5
SE-Htm,LSTM,LE_F_MDS,Energy Fluxes,0.300742,17
SE-Htm,LSTM,H_F_MDS,Energy Fluxes,-0.5488,2
SE-Htm,LSTM,MODIS_band_1,Remote Sensing,0.271556,16
SE-Htm,LSTM,MODIS_band_2,Remote Sensing,-0.664771,1
SE-Htm,LSTM,MODIS_band_3,Remote Sensing,0.196634,15
SE-Htm,LSTM,MODIS_band_4,Remote Sensing,0.168443,14
SE-Htm,LSTM,MODIS_band_5,Remote Sensing,-0.217851,4
SE-Htm,LSTM,MODIS_band_6,Remote Sensing,0.030097,12
SE-Htm,LSTM,MODIS_band_7,Remote Sensing,0.310573,18
SE-Htm,LSTM,DOY,Temporal,0.015818,10
SE-Htm,LSTM,TOD,Temporal,1.563967,19
