Site,Model,Horizon,RMSE,MAE,R2
UK-AMo,Random Forest,93,2.60311,1.88014,0.4943
UK-AMo,Random Forest,94,2.62059,1.90517,0.48748
UK-AMo,Random Forest,95,2.62867,1.9215,0.48432
UK-AMo,Random Forest,96,2.62147,1.91208,0.48714
UK-AMo,XGBoost,1,1.89454,1.45726,0.73212
UK-AMo,XGBoost,2,2.15916,1.67303,0.65206
UK-AMo,XGBoost,3,2.33292,1.80521,0.5938
UK-AMo,XGBoost,4,2.38666,1.85492,0.57485
UK-AMo,XGBoost,5,2.42625,1.87318,0.56064
UK-AMo,XGBoost,6,2.41332,1.85337,0.56531
UK-AMo,XGBoost,7,2.403,1.86091,0.56902
UK-AMo,XGBoost,8,2.41239,1.87681,0.56565
UK-AMo,XGBoost,9,2.43176,1.89439,0.55864
UK-AMo,XGBoost,10,2.45824,1.90557,0.54897
UK-AMo,XGBoost,11,2.47769,1.91552,0.5418
UK-AMo,XGBoost,12,2.4551,1.8893,0.55011
UK-AMo,XGBoost,13,2.47885,1.90648,0.54136
UK-AMo,XGBoost,14,2.4949,1.92781,0.5354
UK-AMo,XGBoost,15,2.46344,1.88803,0.54703
UK-AMo,XGBoost,16,2.50453,1.93759,0.53179
UK-AMo,XGBoost,17,2.52323,1.95286,0.52478
UK-AMo,XGBoost,18,2.51233,1.93328,0.52888
UK-AMo,XGBoost,19,2.50125,1.91927,0.53303
UK-AMo,XGBoost,20,2.4947,1.92394,0.53549
UK-AMo,XGBoost,21,2.55831,1.97505,0.5115
UK-AMo,XGBoost,22,2.50281,1.92145,0.53246
UK-AMo,XGBoost,23,2.53039,1.94639,0.52211
UK-AMo,XGBoost,24,2.56859,1.97777,0.50758
UK-AMo,XGBoost,25,2.53033,1.94855,0.52214
UK-AMo,XGBoost,26,2.54765,1.96475,0.51557
UK-AMo,XGBoost,27,2.55304,1.97531,0.51352
UK-AMo,XGBoost,28,2.60126,2.01477,0.49497
UK-AMo,XGBoost,29,2.59367,2.00433,0.49792
UK-AMo,XGBoost,30,2.59538,2.00046,0.49725
UK-AMo,XGBoost,31,2.62482,2.03544,0.48579
UK-AMo,XGBoost,32,2.60388,1.99419,0.49396
UK-AMo,XGBoost,33,2.6228,2.02597,0.48657
UK-AMo,XGBoost,34,2.63943,2.03527,0.48004
UK-AMo,XGBoost,35,2.61963,2.005,0.48781
UK-AMo,XGBoost,36,2.63412,2.0262,0.48214
UK-AMo,XGBoost,37,2.6667,2.05057,0.46926
UK-AMo,XGBoost,38,2.62456,2.01684,0.48589
UK-AMo,XGBoost,39,2.65376,2.04654,0.47438
UK-AMo,XGBoost,40,2.66131,2.05044,0.47139
UK-AMo,XGBoost,41,2.66457,2.05775,0.4701
UK-AMo,XGBoost,42,2.66339,2.05131,0.47057
UK-AMo,XGBoost,43,2.64773,2.0278,0.47677
UK-AMo,XGBoost,44,2.6554,2.03597,0.47374
UK-AMo,XGBoost,45,2.66988,2.04228,0.46799
UK-AMo,XGBoost,46,2.69882,2.0791,0.45639
UK-AMo,XGBoost,47,2.6965,2.06531,0.45733
UK-AMo,XGBoost,48,2.71053,2.07865,0.45167
UK-AMo,XGBoost,49,2.69253,2.04444,0.45893
UK-AMo,XGBoost,50,2.75272,2.11026,0.43447
UK-AMo,XGBoost,51,2.734,2.08499,0.44214
UK-AMo,XGBoost,52,2.76021,2.10264,0.43139
UK-AMo,XGBoost,53,2.78726,2.13519,0.42019
UK-AMo,XGBoost,54,2.77783,2.11802,0.42412
UK-AMo,XGBoost,55,2.76302,2.09123,0.43025
UK-AMo,XGBoost,56,2.76623,2.1091,0.42893
UK-AMo,XGBoost,57,2.75719,2.10213,0.43266
UK-AMo,XGBoost,58,2.76736,2.09566,0.42847
UK-AMo,XGBoost,59,2.78394,2.11405,0.4216
UK-AMo,XGBoost,60,2.78398,2.13346,0.42159
UK-AMo,XGBoost,61,2.74085,2.07311,0.43937
UK-AMo,XGBoost,62,2.76208,2.10887,0.43064
UK-AMo,XGBoost,63,2.75423,2.10459,0.43387
UK-AMo,XGBoost,64,2.76479,2.11882,0.42952
UK-AMo,XGBoost,65,2.73514,2.08576,0.4417
UK-AMo,XGBoost,66,2.7576,2.10316,0.4325
UK-AMo,XGBoost,67,2.76325,2.1129,0.43019
UK-AMo,XGBoost,68,2.79044,2.12989,0.41893
UK-AMo,XGBoost,69,2.77711,2.12278,0.42446
UK-AMo,XGBoost,70,2.78756,2.10495,0.42012
UK-AMo,XGBoost,71,2.80207,2.14002,0.41407
UK-AMo,XGBoost,72,2.80143,2.12106,0.41434
UK-AMo,XGBoost,73,2.83157,2.15596,0.40167
UK-AMo,XGBoost,74,2.837,2.1559,0.39938
UK-AMo,XGBoost,75,2.85892,2.18127,0.39006
UK-AMo,XGBoost,76,2.87708,2.1863,0.38229
UK-AMo,XGBoost,77,2.85642,2.15919,0.39112
UK-AMo,XGBoost,78,2.84843,2.16087,0.39452
UK-AMo,XGBoost,79,2.8438,2.17395,0.39649
UK-AMo,XGBoost,80,2.85047,2.15868,0.39365
UK-AMo,XGBoost,81,2.84774,2.15852,0.39481
